1	110000	110000	2
2	110000	110101	3
3	110000	110102	3
4	110000	110103	3
5	110000	110104	3
6	110000	110105	3
7	110000	110106	3
8	110000	110107	3
9	110000	110108	3
10	110000	110109	3
11	110000	110111	3
12	110000	110112	3
13	110000	110113	3
14	110000	110114	3
15	110000	110115	3
16	110000	110116	3
17	110000	110117	3
18	110000	110228	3
19	110000	110229	3
20	310000	310000	2
21	310000	310101	3
22	310000	310103	3
23	310000	310104	3
24	310000	310105	3
25	310000	310106	3
26	310000	310107	3
27	310000	310108	3
28	310000	310109	3
29	310000	310110	3
30	310000	310112	3
31	310000	310113	3
32	310000	310114	3
33	310000	310115	3
34	310000	310116	3
35	310000	310117	3
36	310000	310118	3
37	310000	310119	3
38	310000	310120	3
39	310000	310230	3
40	120000	120000	2
41	120000	120101	3
42	120000	120102	3
43	120000	120103	3
44	120000	120104	3
45	120000	120105	3
46	120000	120106	3
47	120000	120107	3
48	120000	120108	3
49	120000	120109	3
50	120000	120110	3
51	120000	120111	3
52	120000	120112	3
53	120000	120113	3
54	120000	120114	3
55	120000	120115	3
56	120000	120221	3
57	120000	120223	3
58	120000	120225	3
59	500000	500000	2
60	500000	500101	3
61	500000	500102	3
62	500000	500103	3
63	500000	500104	3
64	500000	500105	3
65	500000	500106	3
66	500000	500107	3
67	500000	500108	3
68	500000	500109	3
69	500000	500110	3
70	500000	500111	3
71	500000	500112	3
72	500000	500113	3
73	500000	500114	3
74	500000	500115	3
75	500000	500116	3
76	500000	500117	3
77	500000	500118	3
78	500000	500119	3
79	500000	500222	3
80	500000	500223	3
81	500000	500224	3
82	500000	500225	3
83	500000	500226	3
84	500000	500227	3
85	500000	500228	3
86	500000	500229	3
87	500000	500230	3
88	500000	500231	3
89	500000	500232	3
90	500000	500233	3
91	500000	500234	3
92	500000	500235	3
93	500000	500236	3
94	500000	500237	3
95	500000	500238	3
96	500000	500240	3
97	500000	500241	3
98	500000	500242	3
99	500000	500243	3
100	130000	130100	2
101	130100	130102	3
102	130100	130103	3
103	130100	130104	3
104	130100	130105	3
105	130100	130107	3
106	130100	130108	3
107	130100	130121	3
108	130100	130123	3
109	130100	130124	3
110	130100	130125	3
111	130100	130126	3
112	130100	130127	3
113	130100	130128	3
114	130100	130129	3
115	130100	130130	3
116	130100	130131	3
117	130100	130132	3
118	130100	130133	3
119	130100	130181	3
120	130100	130182	3
121	130100	130183	3
122	130100	130184	3
123	130100	130185	3
124	130000	130200	2
125	130200	130202	3
126	130200	130203	3
127	130200	130204	3
128	130200	130205	3
129	130200	130207	3
130	130200	130208	3
131	130200	130223	3
132	130200	130224	3
133	130200	130225	3
134	130200	130227	3
135	130200	130229	3
136	130200	130230	3
137	130200	130281	3
138	130200	130283	3
139	130000	130300	2
140	130300	130302	3
141	130300	130303	3
142	130300	130304	3
143	130300	130321	3
144	130300	130322	3
145	130300	130323	3
146	130300	130324	3
147	130000	130400	2
148	130400	130402	3
149	130400	130403	3
150	130400	130404	3
151	130400	130406	3
152	130400	130421	3
153	130400	130423	3
154	130400	130424	3
155	130400	130425	3
156	130400	130426	3
157	130400	130427	3
158	130400	130428	3
159	130400	130429	3
160	130400	130430	3
161	130400	130431	3
162	130400	130432	3
163	130400	130433	3
164	130400	130434	3
165	130400	130435	3
166	130400	130481	3
167	130000	130500	2
168	130500	130502	3
169	130500	130503	3
170	130500	130521	3
171	130500	130522	3
172	130500	130523	3
173	130500	130524	3
174	130500	130525	3
175	130500	130526	3
176	130500	130527	3
177	130500	130528	3
178	130500	130529	3
179	130500	130530	3
180	130500	130531	3
181	130500	130532	3
182	130500	130533	3
183	130500	130534	3
184	130500	130535	3
185	130500	130581	3
186	130500	130582	3
187	130000	130600	2
188	130600	130602	3
189	130600	130603	3
190	130600	130604	3
191	130600	130621	3
192	130600	130622	3
193	130600	130623	3
194	130600	130624	3
195	130600	130625	3
196	130600	130626	3
197	130600	130627	3
198	130600	130628	3
199	130600	130629	3
200	130600	130630	3
201	130600	130631	3
202	130600	130632	3
203	130600	130633	3
204	130600	130634	3
205	130600	130635	3
206	130600	130636	3
207	130600	130637	3
208	130600	130638	3
209	130600	130681	3
210	130600	130682	3
211	130600	130683	3
212	130600	130684	3
213	130000	130700	2
214	130700	130702	3
215	130700	130703	3
216	130700	130705	3
217	130700	130706	3
218	130700	130721	3
219	130700	130722	3
220	130700	130723	3
221	130700	130724	3
222	130700	130725	3
223	130700	130726	3
224	130700	130727	3
225	130700	130728	3
226	130700	130729	3
227	130700	130730	3
228	130700	130731	3
229	130700	130732	3
230	130700	130733	3
231	130000	130800	2
232	130800	130802	3
233	130800	130803	3
234	130800	130804	3
235	130800	130821	3
236	130800	130822	3
237	130800	130823	3
238	130800	130824	3
239	130800	130825	3
240	130800	130826	3
241	130800	130827	3
242	130800	130828	3
243	130000	130900	2
244	130900	130902	3
245	130900	130903	3
246	130900	130921	3
247	130900	130922	3
248	130900	130923	3
249	130900	130924	3
250	130900	130925	3
251	130900	130926	3
252	130900	130927	3
253	130900	130928	3
254	130900	130929	3
255	130900	130930	3
256	130900	130981	3
257	130900	130982	3
258	130900	130983	3
259	130900	130984	3
260	130000	131000	2
261	131000	131002	3
262	131000	131003	3
263	131000	131022	3
264	131000	131023	3
265	131000	131024	3
266	131000	131025	3
267	131000	131026	3
268	131000	131028	3
269	131000	131081	3
270	131000	131082	3
271	130000	131100	2
272	131100	131102	3
273	131100	131121	3
274	131100	131122	3
275	131100	131123	3
276	131100	131124	3
277	131100	131125	3
278	131100	131126	3
279	131100	131127	3
280	131100	131128	3
